rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
70,30,918082,1174123,20,15,29.563434600830078,33.021522521972656,60.090003967285156,0.0,0.0,26,22,59.16426467895508
70,30,918159,1174147,20,15,29.469932556152344,33.04629135131836,59.16426467895508,0.0,0.0,26,22,58.726646423339844
70,30,918086,1174084,20,15,29.991477966308594,33.04629135131836,58.726646423339844,0.0,0.0,26,21,59.47861099243164
70,30,918012,1173990,20,15,30.270124435424805,33.53366470336914,59.47861099243164,0.0,0.0,26,20,60.51222229003906
70,30,918074,1173973,20,15,30.312211990356445,33.53366470336914,60.51222229003906,0.0,0.0,26,21,62.27971267700195
70,30,918011,1174208,20,15,30.150009155273438,33.53366470336914,62.27971267700195,0.0,0.0,26,21,63.03322982788086
70,30,918098,1174323,20,15,29.816993713378906,33.53366470336914,63.03322982788086,0.0,0.0,26,21,63.92212677001953
70,30,918326,1174482,20,15,29.56340980529785,33.53366470336914,63.92212677001953,0.0,0.0,26,21,64.7310791015625
70,30,918414,1174830,20,15,29.126062393188477,33.53366470336914,64.7310791015625,0.0,0.0,26,21,64.7310791015625
70,30,918512,1174776,20,15,29.126062393188477,33.707454681396484,64.7310791015625,0.0,0.0,26,21,65.09072875976562
70,30,918469,1174749,20,15,29.187236785888672,33.707454681396484,65.09072875976562,0.0,0.0,26,21,65.09072875976562
70,30,918546,1174668,20,15,29.187236785888672,34.2331657409668,65.09072875976562,0.0,0.0,26,21,65.5661392211914
70,30,918494,1174724,20,15,29.35406494140625,34.2331657409668,65.5661392211914,0.0,0.0,26,21,65.9940185546875
70,30,918420,1174800,20,15,29.223947525024414,34.2331657409668,65.9940185546875,0.0,0.0,26,21,66.25504302978516
70,30,918486,1174828,20,15,29.072267532348633,31.61353302001953,66.25504302978516,0.0,0.0,26,21,64.02239990234375
70,30,918538,1174883,20,15,29.00318717956543,31.61353302001953,64.02239990234375,0.0,0.0,26,21,64.21285247802734
70,30,918594,1174800,20,15,29.096111297607422,31.9780216217041,64.21285247802734,0.0,0.0,26,21,65.13030242919922
70,30,918499,1174776,20,15,29.457128524780273,32.14955139160156,65.13030242919922,0.0,0.0,26,21,65.74331665039062
70,30,918555,1174789,20,15,29.458829879760742,32.51531219482422,65.74331665039062,0.0,0.0,26,21,64.31085205078125
70,30,918610,1175010,20,15,29.345396041870117,30.42371940612793,64.31085205078125,0.0,0.0,26,21,61.0380973815918
70,30,918796,1175275,20,15,29.031246185302734,30.42371940612793,61.0380973815918,0.0,0.0,26,21,59.536277770996094
70,30,918852,1175289,20,15,28.86630630493164,31.27362823486328,59.536277770996094,0.0,0.0,26,22,59.602664947509766
70,30,918757,1175178,20,15,29.102190017700195,31.27362823486328,59.602664947509766,0.0,0.0,26,22,59.662479400634766
70,30,918808,1175081,20,15,29.294273376464844,31.69916343688965,59.662479400634766,0.0,0.0,26,22,60.72904586791992
70,30,918713,1174986,20,15,29.960512161254883,31.69916343688965,60.72904586791992,0.0,0.0,26,20,61.640480041503906
70,30,918640,1174964,20,15,30.048723220825195,31.69916343688965,61.640480041503906,0.0,0.0,26,20,63.19905471801758
70,30,918545,1175257,20,15,29.415327072143555,29.955455780029297,63.19905471801758,0.0,0.0,26,21,58.98778533935547
70,30,918881,1175659,20,15,28.901397705078125,29.955455780029297,58.98778533935547,0.0,0.0,26,21,57.864532470703125
70,30,919072,1175787,20,15,28.599489212036133,30.546977996826172,57.864532470703125,0.0,0.0,26,22,59.040077209472656
70,30,918977,1175713,20,15,28.703266143798828,31.074443817138672,59.040077209472656,0.0,0.0,26,22,59.040077209472656
70,30,918893,1175606,20,15,28.703266143798828,31.074443817138672,59.040077209472656,0.0,0.0,26,22,60.1429328918457
70,30,918798,1175838,20,15,28.310256958007812,28.98898696899414,60.1429328918457,0.0,0.0,26,22,58.58102035522461
70,30,918994,1176006,20,15,28.09024429321289,28.98898696899414,58.58102035522461,0.0,0.0,26,22,57.15810012817383
70,30,919185,1176104,20,15,27.881086349487305,30.37139320373535,57.15810012817383,0.0,0.0,26,22,58.4123649597168
70,30,919091,1176026,20,15,28.038414001464844,30.37139320373535,58.4123649597168,0.0,0.0,26,22,59.541259765625
70,30,919136,1175947,20,15,28.1599178314209,30.452939987182617,59.541259765625,0.0,0.0,26,22,61.485713958740234
70,30,919052,1175929,20,15,29.027856826782227,30.452939987182617,61.485713958740234,0.0,0.0,26,21,63.06203079223633
70,30,919097,1175946,20,15,29.456661224365234,30.527700424194336,63.06203079223633,0.0,0.0,26,20,63.728736877441406
70,30,919142,1175878,20,15,29.39544677734375,28.898767471313477,63.728736877441406,0.0,0.0,26,21,62.0749397277832
70,30,919058,1175796,20,15,30.017684936523438,28.898767471313477,62.0749397277832,0.0,0.0,26,20,59.23763656616211
70,30,918963,1175747,20,15,30.594158172607422,27.524059295654297,59.23763656616211,0.0,0.0,26,19,58.03889846801758
70,30,919019,1175882,20,15,30.33161163330078,27.524059295654297,58.03889846801758,0.0,0.0,26,19,55.97892761230469
70,30,919064,1176142,20,15,29.97624397277832,27.524059295654297,55.97892761230469,0.0,0.0,26,20,55.09099578857422
70,30,919259,1176148,20,15,29.656160354614258,27.563810348510742,55.09099578857422,0.0,0.0,26,20,55.09099578857422
70,30,919165,1176026,20,15,29.656160354614258,27.563810348510742,55.09099578857422,0.0,0.0,26,20,55.09099578857422
70,30,919070,1175905,20,15,29.656160354614258,28.592636108398438,55.09099578857422,0.0,0.0,26,20,56.5621452331543
70,30,918986,1175845,20,15,29.59960174560547,28.592636108398438,56.5621452331543,0.0,0.0,26,20,57.89840316772461
70,30,918891,1176091,20,15,29.137619018554688,26.889657974243164,57.89840316772461,0.0,0.0,26,21,55.43991470336914
70,30,919226,1176423,20,15,28.588573455810547,26.889657974243164,55.43991470336914,0.0,0.0,26,21,54.395973205566406
70,30,919417,1176673,20,15,28.28812599182129,27.844425201416016,54.395973205566406,0.0,0.0,26,22,54.39949035644531
70,30,919462,1176554,20,15,28.740211486816406,28.8739070892334,54.39949035644531,0.0,0.0,26,21,55.94057083129883
70,30,919378,1176492,20,15,28.775041580200195,28.8739070892334,55.94057083129883,0.0,0.0,26,21,55.9437370300293
70,30,919284,1176462,20,15,28.72683334350586,29.77630615234375,55.9437370300293,0.0,0.0,26,21,57.335365295410156
70,30,919339,1176467,20,15,28.926706314086914,29.77630615234375,57.335365295410156,0.0,0.0,26,21,58.590206146240234
70,30,919255,1176520,20,15,29.12364387512207,27.910079956054688,58.590206146240234,0.0,0.0,26,22,58.59440994262695
70,30,919436,1176479,20,15,29.42340850830078,29.638803482055664,58.59440994262695,0.0,0.0,26,22,60.73310470581055
70,30,919351,1176421,20,15,29.980600357055664,29.638803482055664,60.73310470581055,0.0,0.0,26,22,63.20506286621094
70,30,919257,1176431,20,15,30.458946228027344,29.638803482055664,63.20506286621094,0.0,0.0,26,21,64.46942901611328
70,30,919323,1176662,20,15,30.144607543945312,29.638803482055664,64.46942901611328,0.0,0.0,26,22,65.49358367919922
70,30,919647,1176902,20,15,29.733972549438477,31.15699005126953,65.49358367919922,0.0,0.0,26,22,65.4939193725586
70,30,919703,1176819,20,15,29.8878231048584,31.67237091064453,65.4939193725586,0.0,0.0,26,22,65.4942398071289
