timestamp,rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
1764717457715135.0,72,30,521156,754260,11,15,29.626617431640625,32.95301818847656,63.95907974243164,0.0,0.0,26,21,63.959537506103516
1764717457725130.0,72,30,521181,754255,11,15,29.649259567260742,33.3966178894043,63.959537506103516,0.0,0.0,26,21,64.5922622680664
1764717457735138.0,72,30,521168,754262,11,15,29.88998031616211,33.3966178894043,64.5922622680664,0.0,0.0,26,20,65.16141510009766
1764717457745156.0,72,30,521192,754272,11,15,29.68988609313965,33.794044494628906,65.16141510009766,0.0,0.0,26,20,65.6745376586914
1764717457755140.0,72,30,521179,754260,11,15,30.14611053466797,33.794044494628906,65.6745376586914,0.0,0.0,26,20,63.191837310791016
1764717457765130.0,72,30,521201,754259,11,15,30.408517837524414,32.15453338623047,63.191837310791016,0.0,0.0,26,19,62.1330680847168
1764717457775131.0,72,30,521188,754292,11,15,30.081296920776367,32.15453338623047,62.1330680847168,0.0,0.0,26,20,60.32258224487305
1764717457785137.0,72,30,521213,754357,11,15,29.754119873046875,32.15453338623047,60.32258224487305,0.0,0.0,26,19,59.55046463012695
1764717457795146.0,72,30,521237,754377,11,15,29.7520751953125,32.15620040893555,59.55046463012695,0.0,0.0,26,20,60.6234016418457
1764717457805143.0,72,30,521301,754387,11,15,29.576824188232422,32.66881561279297,60.6234016418457,0.0,0.0,26,20,61.5892448425293
1764717457815131.0,72,30,521287,754377,11,15,30.04526710510254,33.212005615234375,61.5892448425293,0.0,0.0,26,19,62.458518981933594
1764717457825133.0,72,30,521310,754370,11,15,30.440502166748047,33.611236572265625,62.458518981933594,0.0,0.0,26,19,61.670692443847656
1764717457835139.0,72,30,521297,754399,11,15,30.111576080322266,32.29243087768555,61.670692443847656,0.0,0.0,26,19,60.96164321899414
1764717457845139.0,72,30,521284,754431,11,15,29.8051815032959,32.29243087768555,60.96164321899414,0.0,0.0,26,20,60.32367706298828
1764717457855130.0,72,30,521347,754468,11,15,29.5625057220459,32.29243087768555,60.32367706298828,0.0,0.0,26,20,60.32367706298828
1764717457865182.0,72,30,521371,754447,11,15,29.5625057220459,32.89057922363281,60.32367706298828,0.0,0.0,26,20,61.319419860839844
1764717457875722.0,72,30,521356,754439,11,15,29.5394344329834,32.89057922363281,61.319419860839844,0.0,0.0,26,20,61.31981658935547
1764717457885145.0,72,30,521343,754445,11,15,29.416791915893555,31.183561325073242,61.31981658935547,0.0,0.0,26,20,60.16368103027344
1764717457895143.0,72,30,521368,754457,11,15,29.420223236083984,31.183561325073242,60.16368103027344,0.0,0.0,26,21,59.12352752685547
1764717457905135.0,72,30,521355,754482,11,15,29.534263610839844,30.08672332763672,59.12352752685547,0.0,0.0,26,21,58.18340301513672
1764717457915150.0,72,30,521418,754530,11,15,29.43674659729004,30.08672332763672,58.18340301513672,0.0,0.0,26,21,57.4222297668457
1764717457925138.0,72,30,521443,754604,11,15,29.41349983215332,30.08672332763672,57.4222297668457,0.0,0.0,26,22,57.09758758544922
1764717457935149.0,72,30,521505,754632,11,15,29.2041072845459,30.796728134155273,57.09758758544922,0.0,0.0,26,22,58.415279388427734
1764717457945139.0,72,30,521492,754626,11,15,29.218172073364258,30.796728134155273,58.415279388427734,0.0,0.0,26,22,58.41499710083008
1764717457955140.0,72,30,521477,754630,11,15,29.089366912841797,29.812829971313477,58.41499710083008,0.0,0.0,26,22,58.02088928222656
1764717457965142.0,72,30,521503,754642,11,15,29.120948791503906,29.812829971313477,58.02088928222656,0.0,0.0,26,22,57.666473388671875
1764717457975134.0,72,30,521490,754667,11,15,29.2817440032959,29.812829971313477,57.666473388671875,0.0,0.0,26,22,56.3735466003418
1764717457985143.0,72,30,521550,754713,11,15,29.221792221069336,28.54740333557129,56.3735466003418,0.0,0.0,26,22,55.326595306396484
1764717457995133.0,72,30,521577,754788,11,15,29.171079635620117,28.54740333557129,55.326595306396484,0.0,0.0,26,22,54.88014221191406
1764717458005161.0,72,30,521639,754817,11,15,28.96741485595703,29.415966033935547,54.88014221191406,0.0,0.0,26,23,56.420223236083984
1764717458015147.0,72,30,521626,754811,11,15,29.028635025024414,29.415966033935547,56.420223236083984,0.0,0.0,26,23,56.421173095703125
1764717458025146.0,72,30,521611,754815,11,15,28.94308090209961,28.451948165893555,56.421173095703125,0.0,0.0,26,23,56.20275115966797
1764717458035136.0,72,30,521637,754827,11,15,28.961416244506836,28.451948165893555,56.20275115966797,0.0,0.0,26,23,56.00693893432617
1764717458045133.0,72,30,521622,754850,11,15,29.114635467529297,28.451948165893555,56.00693893432617,0.0,0.0,26,23,55.09942626953125
1764717458055138.0,72,30,521684,754897,11,15,29.113006591796875,27.278833389282227,55.09942626953125,0.0,0.0,26,23,54.36494445800781
1764717458065143.0,72,30,521710,754971,11,15,29.111831665039062,27.278833389282227,54.36494445800781,0.0,0.0,26,23,55.95791244506836
1764717458075139.0,72,30,521733,754981,11,15,29.27713966369629,29.182981491088867,55.95791244506836,0.0,0.0,26,23,55.95838928222656
1764717458085125.0,72,30,521759,754981,11,15,29.15949821472168,29.991928100585938,55.95838928222656,0.0,0.0,26,22,55.9588508605957
1764717458095144.0,72,30,521744,754972,11,15,29.20113754272461,29.991928100585938,55.9588508605957,0.0,0.0,26,22,57.390846252441406
1764717458105147.0,72,30,521731,754978,11,15,29.111724853515625,30.69330596923828,57.390846252441406,0.0,0.0,26,22,58.67905044555664
1764717458115129.0,72,30,521756,754990,11,15,29.183069229125977,30.69330596923828,58.67905044555664,0.0,0.0,26,22,60.88237762451172
1764717458125164.0,72,30,521741,755013,11,15,29.366161346435547,30.69330596923828,60.88237762451172,0.0,0.0,26,23,61.82194519042969
1764717458135130.0,72,30,521805,755019,11,15,29.265832901000977,31.35955810546875,61.82194519042969,0.0,0.0,26,23,62.668304443359375
1764717458145165.0,72,30,521790,755005,11,15,29.764434814453125,29.9632511138916,62.668304443359375,0.0,0.0,26,22,60.757320404052734
1764717458155133.0,72,30,521777,755006,11,15,30.09556007385254,29.9632511138916,60.757320404052734,0.0,0.0,26,21,59.208641052246094
1764717458165154.0,72,30,521802,755086,11,15,29.500381469726562,29.9632511138916,59.208641052246094,0.0,0.0,26,21,57.95420837402344
1764717458175139.0,72,30,521904,755169,11,15,29.0343074798584,29.923831939697266,57.95420837402344,0.0,0.0,26,22,57.4197998046875
